VkStructureType|A sType
void*|A pNext
VkBool32|A shaderInputAttachmentArrayDynamicIndexing
VkBool32|A shaderUniformTexelBufferArrayDynamicIndexing
VkBool32|A shaderStorageTexelBufferArrayDynamicIndexing
VkBool32|A shaderUniformBufferArrayNonUniformIndexing
VkBool32|A shaderSampledImageArrayNonUniformIndexing
VkBool32|A shaderStorageBufferArrayNonUniformIndexing
VkBool32|A shaderStorageImageArrayNonUniformIndexing
VkBool32|A shaderInputAttachmentArrayNonUniformIndexing
VkBool32|A shaderUniformTexelBufferArrayNonUniformIndexing
VkBool32|A shaderStorageTexelBufferArrayNonUniformIndexing
VkBool32|A descriptorBindingUniformBufferUpdateAfterBind
VkBool32|A descriptorBindingSampledImageUpdateAfterBind
VkBool32|A descriptorBindingStorageImageUpdateAfterBind
VkBool32|A descriptorBindingStorageBufferUpdateAfterBind
VkBool32|A descriptorBindingUniformTexelBufferUpdateAfterBind
VkBool32|A descriptorBindingStorageTexelBufferUpdateAfterBind
VkBool32|A descriptorBindingUpdateUnusedWhilePending
VkBool32|A descriptorBindingPartiallyBound
VkBool32|A descriptorBindingVariableDescriptorCount
VkBool32|A runtimeDescriptorArray
